"","windowSize","intervalMultiplier","variance","measureVariance","tp","fp","tn","fn"
"1",50,60,1e-04,5e-04,440,202,92945,1229
"2",100,60,1e-04,5e-04,555,237,92860,1114
"3",150,60,1e-04,5e-04,667,431,92616,1002
"4",200,60,1e-04,5e-04,738,542,92455,931
"5",250,60,1e-04,5e-04,822,818,92129,847
"6",300,60,1e-04,5e-04,909,1237,91660,760
"7",350,60,1e-04,5e-04,940,1723,91124,729
"8",400,60,1e-04,5e-04,946,2084,90713,723
"9",450,60,1e-04,5e-04,964,2389,90358,705
"10",500,60,1e-04,5e-04,970,2950,89747,699
"1",150,70,1e-04,5e-04,572,252,92795,1097
"2",200,70,1e-04,5e-04,680,391,92606,989
"3",250,70,1e-04,5e-04,758,690,92257,911
"4",300,70,1e-04,5e-04,819,908,91989,850
"5",350,70,1e-04,5e-04,867,1190,91657,802
"1",150,60,1e-04,0.01,662,386,92661,1007
"2",200,60,1e-04,0.01,755,721,92276,914
"3",250,60,1e-04,0.01,834,1015,91932,835
"4",300,60,1e-04,0.01,928,1489,91408,741
"5",350,60,1e-04,0.01,639,801,46015,436
"1",100,60,1e-06,0.001,632,279,92818,1037
"2",150,60,1e-06,0.001,731,478,92569,938
"3",200,60,1e-06,0.001,799,748,92249,870
"4",250,60,1e-06,0.001,875,1164,91783,794
"5",300,60,1e-06,0.001,946,1668,91229,723
"6",350,60,1e-06,0.001,954,2034,90813,715
"7",400,60,1e-06,0.001,952,2372,90425,717
"1",100,60,1e-07,0.001,638,354,92743,1031
"2",150,60,1e-07,0.001,768,540,92507,901
"3",200,60,1e-07,0.001,831,769,92228,838
"4",250,60,1e-07,0.001,884,1112,91835,785
"5",300,60,1e-07,0.001,946,1744,91153,723
"6",350,60,1e-07,0.001,948,2204,90643,721
"7",400,60,1e-07,0.001,958,2591,90206,711
"8",150,60,1e-06,0.1,729,505,90719,896
"8",200,60,1e-06,0.1,792,805,90369,833
"1",100,50,1e-07,0.001,714,594,92503,955
"2",150,50,1e-07,0.001,828,964,92083,841
"3",200,50,1e-07,0.001,894,1390,91607,775
"1",100,80,1e-07,0.001,599,252,92845,1070
"2",150,80,1e-07,0.001,639,264,92783,1030
"3",200,80,1e-07,0.001,718,375,92622,951
"4",250,80,1e-07,0.001,786,703,92244,883
"5",300,80,1e-07,0.001,824,871,92026,845
"6",350,80,1e-07,0.001,861,1110,91737,808
"7",400,80,1e-07,0.001,872,1410,91387,797
