"","windowSize","intervalMultiplier","tp","fp","tn","fn"
"1",10,30,1345,316,92871,324
"2",11,30,1331,307,92879,338
"3",12,30,1326,306,92879,343
"4",13,30,1316,287,92897,353
"5",14,30,1309,273,92910,360
"6",15,30,1296,269,92913,373
"7",16,30,1294,258,92923,375
"8",17,30,1290,242,92938,379
"9",18,30,1282,231,92948,387
"10",19,30,1279,219,92959,390
"11",20,30,1281,213,92964,388
"12",21,30,1275,214,92962,394
"13",22,30,1272,216,92959,397
"14",23,30,1269,214,92960,400
"15",24,30,1278,209,92964,391
"16",25,30,1280,199,92973,389
"17",26,30,1284,204,92967,385
"18",27,30,1290,209,92961,379
"19",28,30,1294,215,92954,375
"20",29,30,1295,224,92944,374
"21",30,30,1293,238,92929,376
