"","windowSize","intervalMultiplier","tp","fp","tn","fn"
"1",3,20,1471,2333,90861,198
"2",4,20,1457,1407,91786,212
"3",5,20,1443,1090,92102,226
"4",6,20,1434,909,92282,235
"5",7,20,1441,801,92389,228
"6",8,20,1435,691,92498,234
"7",9,20,1427,678,92510,242
"8",10,20,1433,664,92523,236
"9",11,20,1422,664,92522,247
"10",12,20,1425,682,92503,244
"11",13,20,1426,697,92487,243
"12",14,20,1427,700,92483,242
"1",10,25,1382,423,92764,287
"2",11,25,1370,418,92768,299
"3",12,25,1365,404,92781,304
"4",13,25,1360,400,92784,309
"5",14,25,1355,390,92793,314
"6",15,25,1350,371,92811,319
"7",16,25,1349,345,92836,320
"8",17,25,1358,319,92861,311
"9",18,25,1348,309,92870,321
"10",19,25,1343,305,92873,326
"11",20,25,1347,304,92873,322
"12",21,25,1343,311,92865,326
"13",22,25,1340,314,92861,329
"14",23,25,1343,310,92864,326
"15",24,25,1347,313,92860,322
"16",25,25,1342,309,92863,327
"17",26,25,1345,322,92849,324
"18",27,25,1344,338,92832,325
"19",28,25,1344,361,92808,325
"20",29,25,1344,367,92801,325
"21",30,25,1344,386,92781,325
"1",10,30,1345,316,92871,324
"2",11,30,1331,307,92879,338
"3",12,30,1326,306,92879,343
"4",13,30,1316,287,92897,353
"5",14,30,1309,273,92910,360
"6",15,30,1296,269,92913,373
"7",16,30,1294,258,92923,375
"8",17,30,1290,242,92938,379
"9",18,30,1282,231,92948,387
"10",19,30,1279,219,92959,390
"11",20,30,1281,213,92964,388
"12",21,30,1275,214,92962,394
"13",22,30,1272,216,92959,397
"14",23,30,1269,214,92960,400
"15",24,30,1278,209,92964,391
"16",25,30,1280,199,92973,389
"17",26,30,1284,204,92967,385
"18",27,30,1290,209,92961,379
"19",28,30,1294,215,92954,375
"20",29,30,1295,224,92944,374
"21",30,30,1293,238,92929,376
